2020/02/14 09:50:41 [error] 6#6: *1 open() "/etc/nginx/../static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *2 open() "/etc/nginx/../static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *7 open() "/etc/nginx/../static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *7 open() "/etc/nginx/../static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *2 open() "/etc/nginx/../static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *1 open() "/etc/nginx/../static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *1 open() "/etc/nginx/../static/admin/css/base.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/base.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *2 open() "/etc/nginx/../static/admin/css/login.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/login.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:50:41 [error] 6#6: *7 open() "/etc/nginx/../static/admin/css/responsive.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/admin/login/?next=/admin/"
2020/02/14 09:58:54 [error] 6#6: *12 open() "/etc/nginx/../static/app_sumo/style.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/style.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:58:54 [error] 6#6: *13 open() "/etc/nginx/../static/app_sumo/main.js" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/main.js HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:58:54 [error] 6#6: *13 open() "/etc/nginx/../static/app_sumo/main.js" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/main.js HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 09:58:57 [error] 6#6: *13 open() "/etc/nginx/../static/app_sumo/style.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_sumo/style.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_sumo/"
2020/02/14 10:01:29 [error] 6#6: *15 open() "/etc/nginx/../static/app_ckeiba/style.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/app_ckeiba/style.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/app_ckeiba/"
